	col
69	('SV05UC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123838450.jpg')
70	('5V5ULC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123839135.jpg')
71	('V5ULC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123839186.jpg')
72	('E70GD0', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123841194.jpg')
73	('G17K0B', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123875228.jpg')
74	('7K0BL', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123875287.jpg')
75	('HG07K0B', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123875960.jpg')
76	('HG17K0B', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123876210.jpg')
77	('HG17KOB', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123876600.jpg')
78	('E021VCZ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123899184.jpg')
79	('02DVCZ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123900847.jpg')
80	('EO20VCZ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123904137.jpg')
81	('SV15ULC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123920425.jpg')
82	('15ULC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123920513.jpg')
83	('SV5UL', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123921285.jpg')
84	('55ULC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123924420.jpg')
85	('5ULCE', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123924616.jpg')
86	('GV2FON', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123943663.jpg')
87	('C72FO', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123944025.jpg')
88	('GV72F0', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123944981.jpg')
89	('GV72FN', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123945161.jpg')
90	('GV72N', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123945777.jpg')
91	('GV72F', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123948311.jpg')
92	('KT16LGG', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123962176.jpg')
93	('R012NCZ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123978091.jpg')
94	('LH1NXD', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124023926.jpg')
95	('L1NXD', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124023967.jpg')
96	('L0NXD', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124026426.jpg')
97	('LS23ZY', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124036028.jpg')
98	('LS23ZYN', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124036644.jpg')
99	('S23ZYN', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124039614.jpg')
100	('23ZYN', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124039714.jpg')
101	('CE68XU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124129319.jpg')
102	('CE68DXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124129589.jpg')
103	('CE69DXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124130317.jpg')
104	('CE68DU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124131653.jpg')
105	('CE9DXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124132539.jpg')
106	('C68DX', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124133321.jpg')
107	('CE6DXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124136413.jpg')
108	('CXLVJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124158336.jpg')
109	('CX18LVJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124158724.jpg')
110	('CX8LVJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124161701.jpg')
111	('CX1L1', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124183963.jpg')
112	('J68MY', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124184431.jpg')
113	('HJ68MYT', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124184658.jpg')
114	('J69MY', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124185156.jpg')
115	('J68MYT', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124187398.jpg')
116	('HJ68MY', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124187574.jpg')
117	('SM68VO8', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124238666.jpg')
118	('SM68VOB', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124238926.jpg')
119	('239D703', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124264869.jpg')
120	('239DO3', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124265691.jpg')
121	('239D70', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124266533.jpg')
122	('239D7O3', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124268411.jpg')
123	('239703', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124268535.jpg')
124	('WN7JXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124365092.jpg')
125	('N71JXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124365636.jpg')
126	('WN71JXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124366856.jpg')
127	('WN70JXU', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124367902.jpg')
128	('N71JX', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124368200.jpg')
129	('RF73LLW', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124386061.jpg')
130	('RF73LL', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124386057.jpg')
131	('GD9ZVC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124418218.jpg')
132	('GD09ZVC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124418943.jpg')
133	('GD09ZVCC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124419157.jpg')
134	('WF22VNC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124430923.jpg')
135	('EA1OVNC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124496326.jpg')
136	('EA10VNC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124497309.jpg')
137	('EA0VNC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737124497652.jpg')
138	('1GL09TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131032138.jpg')
139	('GL09TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131032413.jpg')
140	('GLD9TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131032417.jpg')
141	('1D1NJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131032921.jpg')
142	('GL19TNJL', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131032996.jpg')
143	('GL19TNJ1', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131033419.jpg')
144	('173D0', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131042088.jpg')
145	('173041', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131042486.jpg')
146	('173D41', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131042868.jpg')
147	('073D4', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131042876.jpg')
148	('073D44', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131043051.jpg')
149	('173D4', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131046290.jpg')
150	('F14WP', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131054246.jpg')
151	('MF1MW', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131054666.jpg')
152	('MFMWP', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131055260.jpg')
153	('MF4MP', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131056056.jpg')
154	('MF1MP', 'http://127.0.0.1:5000/public/images/upload-cam1-1737131056118.jpg')
