plate,uuid
FD21LYR,http://127.0.0.1:5000/public/images/upload-cam1-1737156522199.jpg
0A570O6,http://127.0.0.1:5000/public/images/upload-cam1-1737156531864.jpg
DA570O,http://127.0.0.1:5000/public/images/upload-cam1-1737156531850.jpg
DA50O,http://127.0.0.1:5000/public/images/upload-cam1-1737156532495.jpg
DA570B,http://127.0.0.1:5000/public/images/upload-cam1-1737156532620.jpg
DA57O0B,http://127.0.0.1:5000/public/images/upload-cam1-1737156533351.jpg
BG8DHZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156543249.jpg
BG9DHZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156543244.jpg
YF66YJ0,http://127.0.0.1:5000/public/images/upload-cam1-1737156554882.jpg
F66YJ0,http://127.0.0.1:5000/public/images/upload-cam1-1737156554929.jpg
YF6YJ0,http://127.0.0.1:5000/public/images/upload-cam1-1737156557461.jpg
L0XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156591605.jpg
LT07XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156592165.jpg
L07XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156592450.jpg
O7XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156595556.jpg
LTO7XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156595938.jpg
L07XP,http://127.0.0.1:5000/public/images/upload-cam1-1737156599319.jpg
L6JZF,http://127.0.0.1:5000/public/images/upload-cam1-1737156613166.jpg
L068JZF,http://127.0.0.1:5000/public/images/upload-cam1-1737156613462.jpg
L068JZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156614034.jpg
068JZF,http://127.0.0.1:5000/public/images/upload-cam1-1737156617158.jpg
L00JZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156617423.jpg
S55WU,http://127.0.0.1:5000/public/images/upload-cam1-1737156629662.jpg
S5SWU,http://127.0.0.1:5000/public/images/upload-cam1-1737156630103.jpg
S5SHU,http://127.0.0.1:5000/public/images/upload-cam1-1737156630242.jpg
S2SJB,http://127.0.0.1:5000/public/images/upload-cam1-1737156650022.jpg
S21SJB,http://127.0.0.1:5000/public/images/upload-cam1-1737156650593.jpg
S2SJ8,http://127.0.0.1:5000/public/images/upload-cam1-1737156650834.jpg
921SJB,http://127.0.0.1:5000/public/images/upload-cam1-1737156652694.jpg
92SJB,http://127.0.0.1:5000/public/images/upload-cam1-1737156653027.jpg
LA57LEA,http://127.0.0.1:5000/public/images/upload-cam1-1737156680756.jpg
LA57LA,http://127.0.0.1:5000/public/images/upload-cam1-1737156681384.jpg
2C695,http://127.0.0.1:5000/public/images/upload-cam1-1737156701756.jpg
2CG695,http://127.0.0.1:5000/public/images/upload-cam1-1737156701975.jpg
V72VUH,http://127.0.0.1:5000/public/images/upload-cam1-1737156720568.jpg
DV7VUH,http://127.0.0.1:5000/public/images/upload-cam1-1737156720788.jpg
DV72VUH,http://127.0.0.1:5000/public/images/upload-cam1-1737156721154.jpg
LR63KO,http://127.0.0.1:5000/public/images/upload-cam1-1737156767471.jpg
LR63KY0,http://127.0.0.1:5000/public/images/upload-cam1-1737156767517.jpg
LR63K0,http://127.0.0.1:5000/public/images/upload-cam1-1737156770262.jpg
LR630,http://127.0.0.1:5000/public/images/upload-cam1-1737156770860.jpg
LF64JM,http://127.0.0.1:5000/public/images/upload-cam1-1737156781612.jpg
LF6WJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156782315.jpg
17VHJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156810817.jpg
X17VHJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156810919.jpg
MX7VHJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156811310.jpg
MA1BE0X,http://127.0.0.1:5000/public/images/upload-cam1-1737156847139.jpg
MA8E0X,http://127.0.0.1:5000/public/images/upload-cam1-1737156847772.jpg
MA8EOX,http://127.0.0.1:5000/public/images/upload-cam1-1737156848558.jpg
FV23YZZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156864538.jpg
G9TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737186717836.jpg
GL9NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737186718244.jpg
GL19NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737186718787.jpg
073D4,http://127.0.0.1:5000/public/images/upload-cam1-1737186726704.jpg
73D440,http://127.0.0.1:5000/public/images/upload-cam1-1737186726958.jpg
13D41,http://127.0.0.1:5000/public/images/upload-cam1-1737186727435.jpg
730441,http://127.0.0.1:5000/public/images/upload-cam1-1737186727582.jpg
L19TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737186762292.jpg
GL09TN,http://127.0.0.1:5000/public/images/upload-cam1-1737186762916.jpg
G19NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737186763200.jpg
07D41,http://127.0.0.1:5000/public/images/upload-cam1-1737186771525.jpg
173041,http://127.0.0.1:5000/public/images/upload-cam1-1737186771715.jpg
073D44,http://127.0.0.1:5000/public/images/upload-cam1-1737186774001.jpg
F4MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737186782901.jpg
F14MP,http://127.0.0.1:5000/public/images/upload-cam1-1737186783065.jpg
F1MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737186783774.jpg
MF0MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737186784319.jpg
MF4MP,http://127.0.0.1:5000/public/images/upload-cam1-1737186784500.jpg
MF4MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737186785261.jpg
J10FY,http://127.0.0.1:5000/public/images/upload-cam1-1737186806486.jpg
LDU0BC,http://127.0.0.1:5000/public/images/upload-cam1-1737186814965.jpg
L09U0,http://127.0.0.1:5000/public/images/upload-cam1-1737186816258.jpg
J135Y,http://127.0.0.1:5000/public/images/upload-cam1-1737186819125.jpg
AJ13S,http://127.0.0.1:5000/public/images/upload-cam1-1737186819452.jpg
AJ135YV,http://127.0.0.1:5000/public/images/upload-cam1-1737186823021.jpg
YL19NDV,http://127.0.0.1:5000/public/images/upload-cam1-1737186832489.jpg
L9AX5,http://127.0.0.1:5000/public/images/upload-cam1-1737186834296.jpg
LF19AX,http://127.0.0.1:5000/public/images/upload-cam1-1737186834802.jpg
L1910,http://127.0.0.1:5000/public/images/upload-cam1-1737186839219.jpg
LM19K0,http://127.0.0.1:5000/public/images/upload-cam1-1737186842964.jpg
L9K10,http://127.0.0.1:5000/public/images/upload-cam1-1737186843207.jpg
LL9KT0,http://127.0.0.1:5000/public/images/upload-cam1-1737186843426.jpg
LH9K0,http://127.0.0.1:5000/public/images/upload-cam1-1737186843494.jpg
GD9ZVC,http://127.0.0.1:5000/public/images/upload-cam1-1737188094691.jpg
C2LYP,http://127.0.0.1:5000/public/images/upload-cam1-1737188112453.jpg
DA57O9,http://127.0.0.1:5000/public/images/upload-cam1-1737188121935.jpg
DA570OB,http://127.0.0.1:5000/public/images/upload-cam1-1737188122445.jpg
BG8DZ,http://127.0.0.1:5000/public/images/upload-cam1-1737188133086.jpg
K0205N,http://127.0.0.1:5000/public/images/upload-cam1-1737188164436.jpg
671EA,http://127.0.0.1:5000/public/images/upload-cam1-1737188279577.jpg
LA5LE,http://127.0.0.1:5000/public/images/upload-cam1-1737188279638.jpg
L57LEA,http://127.0.0.1:5000/public/images/upload-cam1-1737188280068.jpg
1A57LEA,http://127.0.0.1:5000/public/images/upload-cam1-1737188280949.jpg
LF64WJM,http://127.0.0.1:5000/public/images/upload-cam1-1737188386642.jpg
LF64J,http://127.0.0.1:5000/public/images/upload-cam1-1737188386904.jpg
